entidad,mun,pob_tot,p_15ymas,p_6a14,p15ym_an,p_6a14_noa,p_15ymas_edbasinc,psinder,vivpar_hab,vph_pisoti,vph_excsa,vph_aguafv,vph_nodren,vph_s_elec,vph_lavad,vph_refri,vph_cel,vph_pc,vph_inter,vph_tv
01,,1312544,922260,237297,23901,8110,269645,169350,334589,2316,330921,2738,3244,1215,282953,311142,288340,129412,119111,326554
01,01001,877190,631064,150836,12981,5247,162103,124175,230559,1263,229281,1528,1111,461,198689,218059,204827,101785,96897,226072
01,01002,46464,31013,9284,1371,241,12992,2572,10787,181,10178,140,646,126,8259,9145,7710,1774,1060,10307
01,01003,56048,38678,10272,1849,451,19024,5466,14182,150,14072,135,123,77,11975,13135,10171,2805,2484,13809
01,01004,15577,10478,3084,453,81,3464,797,3519,55,3417,21,68,26,2707,3081,2609,607,319,3391
01,01005,120405,80505,24239,2612,1001,27152,16657,28911,266,28614,273,210,122,24427,26541,25598,11103,9882,28085
01,01006,46473,31113,9346,1056,245,9628,4678,10769,76,10573,124,145,78,8943,9656,8797,3357,2731,10480
01,01007,53866,35683,10984,1252,249,11448,5602,12223,113,11885,193,318,83,9559,10819,9333,2993,2253,11759
01,01008,8896,5845,1780,186,35,2134,502,2104,12,1978,34,103,32,1593,1804,1659,403,218,1957
01,01009,20926,14027,4033,588,102,5895,1710,4948,62,4738,66,142,50,3859,4250,3602,734,457,4724
01,01010,20245,13679,3988,669,92,5780,1739,4882,84,4536,128,308,106,3523,4000,3485,700,273,4622
01,01011,46454,30175,9451,884,366,10025,5452,11705,54,11649,96,70,54,9419,10652,10549,3151,2537,11348
02,,3315766,2426598,547552,47377,16853,722221,598650,967863,11856,955763,26634,30260,6516,778221,907561,876522,451110,474381,930305
02,02001,486639,356142,80133,12681,2707,119704,67340,143169,2038,140212,10358,12465,1951,112377,128891,128024,61437,63239,134717
02,02002,988417,729503,159722,11250,4865,194611,153016,291763,2376,288529,3754,9653,2214,250834,280369,266118,134510,142141,284349
02,02003,102406,74241,17310,1715,371,25338,11737,29767,397,28837,1940,668,497,24332,27257,26328,12549,13437,28165
02,02004,1641570,1196762,273712,20130,8294,358666,347994,475341,6676,471804,8658,7044,1712,370464,446100,432274,231642,243265,457753
02,02005,96734,69950,16675,1601,616,23902,18563,27823,369,26381,1924,430,142,20214,24944,23778,10972,12299,25321
03,,712029,522043,114263,12985,2735,151490,96673,209834,8034,206376,14199,6438,2902,143102,189697,193647,89450,90863,196763
03,03001,72564,53284,12304,2670,352,20865,6484,21436,764,20980,971,1215,597,14869,19028,18583,6084,5832,19838
03,03002,60171,43268,10008,2166,421,18724,5230,18307,370,17810,504,2798,285,11726,14969,15915,6537,5532,16551
03,03003,272711,206225,40140,3812,787,46322,34556,83027,1393,82118,3143,1335,1124,60741,77720,77855,42844,42056,79224
03,03008,287671,205352,48663,3994,1129,61491,48436,81089,5287,79774,9201,801,695,51487,72990,76208,31343,34961,75893
03,03009,18912,13914,3148,343,46,4088,1967,5975,220,5694,380,289,201,4279,4990,5086,2642,2482,5257
04,,899931,654054,145250,43494,6468,232314,107357,244471,7555,232402,15588,18665,4596,184293,201919,194493,72397,71966,218339
04,04001,56537,41690,9087,4597,168,16118,5752,14209,391,11949,657,2708,180,9551,9788,9749,2842,2234,12782
04,04002,283025,212715,41628,8430,707,58766,28229,79159,882,77821,774,1751,594,64520,72703,70576,31867,33164,75788
04,04003,248303,185185,36740,7518,1880,56774,40494,70615,1616,69436,7461,1093,819,56872,62523,63743,27570,29174,65104
04,04004,90244,63537,15872,6340,619,29108,9815,24189,977,22272,1098,2640,584,17657,18540,17979,3492,3125,20961
04,04005,31230,21991,5436,2115,339,8439,4680,7651,102,6743,202,1463,215,5404,5247,5046,1263,587,6654
04,04006,40100,26861,7836,2702,1381,14275,5213,9307,276,7798,235,2568,285,6468,5994,4576,932,544,6553
04,04007,8971,6360,1579,624,43,2671,423,2461,93,2391,534,65,55,1776,1991,1889,320,168,2074
04,04008,10665,7791,1685,847,24,3061,600,2754,34,2147,65,784,53,1900,1980,1922,350,833,2519
04,04009,58553,40405,10750,3832,440,18679,4915,15534,755,14777,421,1551,400,10291,11849,11503,2431,1608,13165
04,04010,28424,18491,5979,2800,218,9206,2178,7000,798,6557,2248,1842,318,3653,4062,2919,321,107,4647
04,04011,43879,29028,8658,3689,649,15217,5058,11592,1631,10511,1893,2200,1093,6201,7242,4591,1009,422,8092
05,,2954915,2126205,497402,41872,15348,579076,415690,809275,5889,799057,14287,19398,3285,683499,772278,688466,290668,301756,791603
05,05001,1015,788,139,20,10,297,126,345,1,341,4,16,0,302,330,250,50,20,336
05,05002,147809,103670,26665,1791,1217,37094,15832,40869,325,40506,511,453,380,33764,38844,36387,10256,9099,39953
05,05003,22654,16231,3857,330,99,5359,1603,6421,20,6384,20,189,6,5827,6311,5242,1898,2015,6338
05,05004,23271,16515,4083,874,121,7869,3799,6414,115,6293,262,269,32,5225,5813,4668,1080,1159,6080
05,05005,1720,1243,291,81,12,664,295,520,0,509,7,36,6,431,489,396,74,71,494
05,05006,28068,20145,4718,366,168,6024,2394,7810,40,7686,349,462,33,6544,7542,6164,1758,1809,7561
05,05007,13546,9485,2537,388,121,3770,643,3906,76,3807,222,424,94,2967,3473,2973,847,725,3599
05,05008,3077,2188,504,71,18,865,491,878,5,864,102,135,7,716,833,689,97,92,839
05,05009,58360,41536,10070,1547,379,15512,7040,15224,169,14707,429,845,70,11758,14084,11989,3057,2576,14787
05,05010,80991,58301,13483,839,438,15671,7641,21705,77,21544,312,483,31,18539,21166,18802,6880,7207,21412
05,05011,12471,8829,2211,576,75,3799,812,3439,42,3227,69,273,56,2537,3086,2234,287,235,3107
05,05012,1697,1226,291,82,7,652,358,511,4,499,13,75,11,399,483,428,72,58,469
05,05013,1565,980,371,67,15,435,567,429,4,414,10,20,11,335,399,384,56,18,394
05,05014,10243,7377,1667,278,106,4335,1659,2887,46,2790,233,420,116,2214,2667,2434,267,243,2648
05,05015,1574,1165,230,24,5,555,153,456,4,446,13,30,7,381,432,318,49,3,424
05,05016,1773,1328,274,49,7,456,181,538,7,526,5,30,4,451,511,418,116,31,498
05,05017,108950,76541,20145,2397,649,26646,21304,27215,470,26340,475,1706,106,20871,25595,22543,5675,4861,26772
05,05018,231107,169757,36209,2263,739,38117,23212,65951,216,65356,809,784,139,57451,64502,58209,27720,29182,64917
05,05019,8599,6105,1502,155,51,1962,632,2453,11,2423,26,325,4,2180,2406,1914,658,759,2405
05,05020,69102,49834,11814,1373,599,17894,4920,19303,115,18996,321,1371,208,16799,18433,14714,5077,5726,18596
05,05021,6614,4881,1078,158,18,1419,495,1937,6,1910,27,102,14,1601,1885,1627,376,160,1845
05,05022,30698,21330,5513,501,279,7211,2889,8409,99,8265,150,291,66,7344,8055,7144,2560,2659,8164
05,05023,11671,8014,2196,350,116,3515,1373,3152,69,3047,263,362,64,2166,2525,2209,620,385,2801
05,05024,44799,32456,7606,1356,209,10308,4229,12332,194,11652,821,1037,87,9230,11299,9333,3056,2871,11739
05,05025,163595,114634,28641,1692,1309,33123,22003,45067,444,44356,468,593,142,38164,42988,39905,15835,17772,44145
05,05026,3304,2390,549,110,16,1203,339,972,6,944,13,69,7,801,937,631,132,155,919
05,05027,92828,64926,16440,1294,413,15070,10589,25665,142,25363,438,431,159,20938,24178,22749,9772,9770,24769
05,05028,63522,46416,10236,889,382,13455,5377,18647,134,18447,221,466,72,16433,18027,15214,7072,7342,18120
05,05029,2360,1713,400,63,24,586,267,683,4,672,4,53,2,591,670,604,150,82,668
05,05030,807537,581239,134712,8930,2765,126013,105901,213329,1092,212259,4050,2143,696,189137,205146,185047,94691,99916,209754
05,05031,23587,17608,3580,313,75,4325,2844,7108,9,7023,119,180,18,6327,6932,6050,2340,1999,6936
05,05032,43232,32243,6440,522,222,9934,2242,13001,102,12771,110,510,48,11627,12526,10251,4573,5001,12702
05,05033,106142,74755,19369,3444,613,30175,13462,26729,240,25705,1541,2129,173,19893,24733,20625,5075,4857,25985
05,05034,6988,4791,1251,161,58,1734,724,1887,25,1824,78,68,22,1542,1658,1299,487,257,1720
05,05035,679288,496789,110712,7330,3725,120144,143244,191913,1423,190425,1258,1530,301,159501,182973,166706,76400,81196,189029
05,05036,21549,14914,4194,805,160,7322,3977,5417,111,5059,458,663,50,3575,4840,3432,354,191,5158
05,05037,6352,4517,1128,131,31,1710,618,1848,12,1813,17,185,17,1595,1772,1485,292,313,1772
05,05038,13257,9345,2296,252,97,3853,1455,3905,30,3864,59,240,26,3343,3735,2999,909,941,3748
06,,711235,523309,113082,20305,4615,175316,86131,205243,4710,203224,2227,1503,1152,150566,189414,175026,78440,78996,196203
06,06001,29599,21054,4985,1828,272,11428,2077,8144,477,7911,274,163,62,5434,7033,6167,1459,1272,7567
06,06002,150673,115693,21280,3300,571,32165,20582,45769,836,45524,428,251,362,36213,43545,39977,21899,22810,44418
06,06003,21544,15864,3521,631,111,6622,2446,5899,202,5708,70,148,56,3492,4919,4286,1730,1655,5592
06,06004,20198,14858,3262,819,137,6528,2013,5674,147,5587,52,53,47,3852,5160,4523,1588,1435,5430
06,06005,30198,22469,4973,784,171,8560,2077,8486,94,8442,48,44,29,6817,8015,6697,2855,2608,8245
06,06006,5527,4110,821,434,25,2034,178,1610,48,1578,23,39,19,1023,1421,957,229,160,1454
06,06007,184541,133904,29967,4049,1222,42839,24763,52759,799,52294,602,466,166,39326,49204,46513,19337,20169,50117
06,06008,8985,6411,1585,383,37,2793,539,2497,93,2411,77,69,18,1746,2255,1893,544,317,2320
06,06009,123191,86617,21471,6332,1536,41605,14207,32183,1611,31763,514,207,283,18898,27273,24793,6742,6413,29901
06,06010,136779,102329,21217,1745,533,20742,17249,42222,403,42006,139,63,110,33765,40589,39220,22057,22157,41159
07,,5217908,3474961,1034514,515684,71391,1850274,901638,1239007,131595,1194673,156774,135380,28838,497255,773194,737424,172108,137846,941593
07,07001,18082,11636,3774,1362,154,6611,3183,4173,234,3983,340,192,69,1648,2979,2868,316,127,3065
07,07002,31424,21724,5926,3561,440,11848,2915,8013,606,7761,218,425,130,4246,6209,5177,655,251,7234
07,07003,28380,19632,5053,2976,212,11330,5823,7483,626,6845,2108,662,146,3638,5702,3449,455,263,5961
07,07004,32872,20254,7902,5035,782,14271,5081,6899,1022,6626,1367,2159,448,957,1874,2058,301,101,3557
07,07005,19348,12794,3929,2969,252,7991,925,4796,949,4685,748,312,262,577,1701,739,70,45,2427
07,07006,30732,20119,6234,3104,376,13232,3403,7149,455,6905,222,249,179,2640,4425,4072,471,100,5215
07,07007,9913,6104,2239,1900,194,4961,1663,2149,468,1942,583,411,80,56,169,556,26,5,899
07,07008,28162,18429,5905,3594,482,11314,2970,6183,654,5965,209,201,183,1945,3822,2930,274,272,4758
07,07009,40114,28817,6919,2361,371,13231,5417,11380,198,10968,1638,355,183,6533,9582,8462,1467,1308,10352
07,07010,7494,4666,1682,534,88,3200,525,1489,201,1477,544,206,16,264,532,555,34,8,894
07,07011,20142,13048,4267,1497,179,8246,1146,4250,405,4130,755,746,137,1123,2006,1396,145,37,2730
07,07012,51722,33993,10241,3937,1222,18344,12356,12249,1066,11791,2027,691,196,6658,8831,9181,1906,1792,10745
07,07013,34997,21220,8012,3246,361,11247,4918,7557,1363,7486,583,600,129,1553,3531,3634,594,372,5233
07,07014,22606,13285,5481,3409,464,9267,3507,4362,1019,4223,105,422,58,281,1104,2044,88,204,2270
07,07015,45594,31255,8617,3601,441,14701,10660,10880,868,10593,271,427,141,3120,7035,7471,1083,567,9053
07,07016,17065,12423,2733,1932,176,7092,1327,4648,361,4358,293,344,161,2587,3731,2733,298,207,3734
07,07017,84455,58698,15334,6371,682,28298,13192,20737,1529,19382,1425,1680,259,10654,15310,13827,2763,1591,18362
07,07018,9210,5880,1897,915,81,3721,824,2237,199,2078,46,207,41,422,912,1114,106,22,1361
07,07019,153448,107508,26532,12264,1924,56379,20970,39192,2781,38714,4832,2387,261,21469,28647,29228,6810,4641,35132
07,07020,46405,31382,8994,6038,862,19043,5488,10996,1385,10126,1198,959,340,4940,7480,5700,543,887,8768
07,07021,21800,14803,4389,1764,148,7703,2533,5682,572,5474,265,244,158,1657,3590,2366,405,104,3962
07,07022,16803,9110,4409,2905,689,7632,2800,3662,1302,3474,1583,2643,558,13,182,492,9,5,778
07,07023,87332,50452,21518,18806,3056,45655,18014,19158,4472,18248,5152,11795,380,317,773,6249,85,82,8260
07,07024,12181,6187,3518,1610,120,4111,588,2001,579,1923,825,1215,81,1,60,430,7,0,544
07,07025,7644,5125,1601,809,55,2552,849,1809,250,1758,140,129,75,209,801,119,77,19,1049
07,07026,39648,22242,10099,6277,1407,18629,7597,7286,2830,6929,1275,2606,288,145,591,1950,48,42,2627
07,07027,100751,70065,17713,7336,988,30544,18143,26258,1970,25384,2078,788,296,13976,21177,21218,4702,3409,23616
07,07028,5899,4087,1079,997,76,2748,556,1538,71,1507,33,27,30,721,1024,832,41,7,1339
07,07029,5000,3419,912,348,25,1772,661,1311,69,1279,56,22,7,615,987,959,116,39,1114
07,07030,34744,22884,7223,3574,368,15510,3983,8187,813,7743,1013,478,196,3048,5285,4067,407,119,5941
07,07031,127914,72483,33300,21769,3384,48762,20972,23533,6883,20313,3549,5892,2049,884,4267,4997,474,128,8737
07,07032,31822,21001,6540,2511,275,11399,5727,7666,427,7343,572,376,238,2495,5294,3457,517,278,5446
07,07033,7430,4733,1683,988,63,3014,808,1533,221,1471,46,84,52,272,812,160,29,8,979
07,07034,73436,49064,14602,5694,767,29847,12957,17689,1490,17210,2027,741,308,8301,13421,10539,1316,558,14255
07,07035,14416,9740,2721,1388,180,4791,3506,3541,292,3309,829,230,82,1510,2580,2095,210,208,2876
07,07036,7057,4170,1808,471,101,2458,768,1361,142,1338,246,285,26,345,475,893,83,26,882
07,07037,35017,24701,5982,3286,314,11425,8046,8987,867,8354,3694,663,183,3044,6878,5625,968,392,7570
07,07038,23625,14828,5225,3090,219,9948,1909,4705,1195,4633,845,2011,186,283,396,1361,54,37,1814
07,07039,23172,14694,5008,3164,308,9714,1620,5224,1564,5060,770,1184,84,358,1848,708,86,20,2948
07,07040,54332,37473,10420,3931,611,18011,11817,13966,1458,13496,2019,574,272,5870,10307,9135,1447,1341,11544
07,07041,44891,30172,8417,4643,965,23396,3078,10417,929,10233,680,3917,96,4462,4119,5123,285,153,7978
07,07042,11342,7082,2527,1216,133,3975,671,2664,207,2642,51,17,19,523,1233,1358,106,54,1668
07,07043,10772,7219,2102,877,62,3541,2062,2550,247,2442,243,162,180,681,1387,1442,203,171,1721
07,07044,27198,17961,5591,2497,382,10841,3792,5770,472,5424,382,404,72,1396,2806,3255,360,224,4438
07,07045,5384,3781,979,577,67,2289,376,1287,239,1210,116,57,23,310,706,442,55,14,810
07,07046,39109,27365,6996,3060,333,15183,5705,10508,849,10166,1097,411,124,5059,7657,5606,697,323,8952
07,07047,20606,11959,5055,2420,270,6673,5955,4363,446,4301,71,309,58,543,1161,1779,167,41,2274
07,07048,21222,14829,3782,1854,163,7348,2482,5567,319,5367,1020,183,84,3634,4634,4158,616,1138,4737
07,07049,23889,12997,6026,2874,437,9342,2968,4508,646,4444,463,989,91,75,222,1873,58,189,1303
07,07050,4915,3603,765,464,38,1840,1878,1444,24,1371,237,66,30,742,1240,1004,115,63,1249
07,07051,47932,32936,8640,4458,353,19158,10222,12449,841,11950,1701,512,198,6640,9805,7976,976,605,9769
07,07052,122821,77893,27092,15725,2023,55625,18270,25246,2968,24545,7424,12938,2111,4592,8319,7049,1189,730,13984
07,07053,7769,4976,1676,471,112,3346,750,1604,96,1574,58,22,12,357,891,874,93,33,1024
07,07054,29239,20303,5276,2654,372,10266,4504,7845,895,7159,3057,1211,125,3870,5696,4470,527,335,6367
07,07055,5743,3986,1044,431,45,1713,1480,1503,144,1451,81,37,19,625,1224,1149,199,139,1327
07,07056,11906,6207,3126,2528,430,5347,1169,2282,658,2261,949,1133,29,64,112,110,8,5,777
07,07057,72967,46849,15904,5358,591,28105,12651,15178,1500,14945,303,606,127,3541,8901,6744,1262,632,10961
07,07058,4262,2614,1030,486,50,1917,338,909,90,888,18,18,3,176,624,95,12,3,711
07,07059,218893,129137,54224,29334,3637,81154,37237,42341,9218,40672,4746,10295,3711,6482,16309,15184,3572,1509,22371
07,07060,12508,6814,3489,2371,193,4901,1888,2584,571,2396,152,436,33,69,430,213,59,4,1004
07,07061,92103,61150,18239,6933,1634,34768,19175,21717,2887,21111,3101,1688,369,9719,14262,12043,2243,1517,17406
07,07062,18128,12064,3589,1868,211,6923,1337,4404,475,4288,460,106,256,1800,2851,2447,200,601,3171
07,07063,3682,2474,755,253,17,1263,589,917,34,899,4,9,4,388,650,623,78,23,712
07,07064,48126,26653,12783,4537,563,16921,5416,9133,3199,8814,6516,6197,1128,149,428,1248,72,44,2256
07,07065,119826,77828,24653,12636,1058,39871,19750,28601,2290,26459,2063,3086,417,10712,18642,14671,3215,1413,20822
07,07066,22011,12304,5710,4583,1071,9877,3747,4049,1348,3889,612,1150,304,173,627,1065,54,16,1390
07,07067,12136,7472,2837,1965,108,4847,1111,2786,595,2645,74,136,32,281,754,876,85,15,1683
07,07068,31107,22207,5191,2870,323,10318,3122,8162,605,7867,762,317,256,3607,6199,5715,960,1081,6510
07,07069,53525,37352,9773,5031,496,20829,12077,14548,1048,13821,3884,682,285,8243,11750,8737,1213,724,12106
07,07070,14121,8505,3585,853,96,4727,380,2623,180,2609,549,253,8,479,793,478,69,6,1727
07,07071,28961,19441,5658,2675,278,11019,5742,7248,540,6639,1952,610,190,3331,5150,3561,324,112,5704
07,07072,31942,19225,7543,4601,604,13314,2926,6730,1590,6662,111,623,89,986,1823,3033,363,211,3831
07,07073,9578,6005,2181,1189,97,3426,708,2101,367,2063,270,106,36,443,709,1244,214,49,1497
07,07074,45104,31373,8054,2160,343,12516,7115,12049,332,11821,624,181,41,9388,10517,10354,2556,2003,11161
07,07075,28261,18833,5713,4847,786,13802,3061,6801,1535,6596,1816,359,139,2853,3661,3654,383,180,5663
07,07076,26921,16832,5930,3662,202,10455,2240,5823,1620,5734,874,1396,395,183,1606,605,86,19,2671
07,07077,63446,40229,14236,9590,655,24715,8109,13535,2334,12378,1304,1630,435,1778,6007,2520,521,147,7191
07,07078,209591,146106,37601,14622,2576,59746,54697,51377,3672,50844,1249,2163,131,22212,30823,42192,13242,9281,45139
07,07079,39204,26504,7402,3555,800,16628,6795,9611,491,9312,831,260,73,4241,6689,7048,999,754,8215
07,07080,35192,22240,7968,3423,353,14189,2302,6928,1039,6747,262,385,195,1702,3282,1585,163,52,4605
07,07081,44295,26024,10746,7096,1042,17726,6509,8522,2243,8249,596,1643,196,722,2482,2995,270,126,3925
07,07082,13844,7958,3556,3351,522,6319,1807,2798,659,1177,1238,1764,369,130,392,502,32,4,792
07,07083,18539,12978,3146,2504,214,8873,2217,4963,466,4759,368,202,76,2789,3628,2835,227,107,4127
07,07084,8082,5136,1770,977,94,3175,538,1857,232,1760,64,100,40,451,970,892,78,89,1180
07,07085,10707,7101,2183,1179,138,4181,389,2439,141,2375,26,27,20,641,1490,1548,71,31,1940
07,07086,24049,16497,4417,2369,214,7360,3381,5632,387,5518,421,143,73,2670,4566,3989,700,417,4861
07,07087,38797,25761,7332,3725,815,14489,13128,9891,1124,9327,1709,610,195,3352,7004,6155,695,734,8057
07,07088,2283,1553,414,223,17,793,146,548,61,538,77,12,14,167,332,176,27,7,374
07,07089,348156,247958,60741,16258,2619,92114,85708,92528,5021,90244,8810,2207,1006,49552,78058,75270,21847,19321,83539
07,07090,3839,2512,851,366,20,1543,450,995,131,927,21,36,10,135,289,189,39,6,575
07,07091,12887,8636,2550,1309,68,3771,610,3319,294,3271,37,42,11,1006,1930,2108,307,383,2632
07,07092,41305,27638,8511,4217,572,16930,5507,10325,1095,9781,673,589,446,3588,6681,4175,673,255,7196
07,07093,43593,24364,11075,5331,847,18993,3833,7832,1440,7699,714,2693,219,109,234,1333,40,22,2869
07,07094,43175,26357,9865,6716,1497,20667,6732,9236,1131,9007,534,1036,244,2505,2851,5547,390,224,6054
07,07096,77554,48587,17264,11948,899,30214,13126,15960,4016,15665,2397,3752,802,876,4423,3585,410,156,7681
07,07097,89178,63057,15448,6509,552,28690,13047,23721,878,22872,3845,777,284,14683,19829,17319,2855,2087,20790
07,07098,7284,4767,1452,1396,109,3075,806,1647,136,1573,24,86,37,318,828,567,24,7,1272
07,07099,76917,52436,14193,8151,917,37380,9721,18474,1940,18117,4498,3451,249,6867,11242,9348,791,308,14388
07,07100,34305,21391,7662,6221,490,13765,4717,6827,1037,6470,2051,1967,404,192,1438,582,152,23,3146
07,07101,598710,448541,87411,19227,4180,119743,137937,160210,3205,159606,11833,874,293,112178,146628,147577,65775,62555,153666
07,07102,41823,29035,7661,3263,237,11809,8398,10319,1448,9923,2546,410,168,3310,7819,7418,1219,1078,8884
07,07103,31755,21151,6379,2471,304,11101,6656,7568,502,7132,1240,507,89,2167,4971,4612,427,685,6114
07,07104,15316,10829,2687,1956,192,7241,1125,4259,282,4103,541,176,66,2261,2894,2630,249,100,3644
07,07105,15350,10644,2855,1346,80,4847,2932,3693,267,3540,188,179,65,958,2044,2662,324,263,3111
07,07106,65009,44059,12744,9067,912,27845,8994,16385,1547,15432,1037,1116,238,7837,10522,8659,916,398,13807
07,07107,79003,54940,14244,9680,1293,30210,11794,20020,1236,18608,3138,1499,766,10703,14705,12300,1812,1511,17033
07,07108,104833,74528,18285,9748,1218,38560,15735,28017,1717,27143,2779,862,221,15134,22433,19554,3172,1839,24576
07,07109,37833,24331,7957,6489,1213,14879,6335,8558,1889,8203,825,912,528,1659,3687,4853,860,624,5532
07,07110,7202,4652,1473,1121,73,3083,368,1791,103,1744,305,58,38,389,847,568,19,6,1280
07,07111,41112,24983,9846,9123,1875,22075,6623,8055,619,7500,2406,1327,69,238,652,2905,72,46,4905
07,07112,34829,18672,9330,6402,808,14376,4146,6538,3253,6075,2029,3105,265,17,139,1265,17,23,1117
